"date","hits","keyword","geo","time","gprop","category"
2020-12-27,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-01-03,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-01-10,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-01-17,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-01-24,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-01-31,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-02-07,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-02-14,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-02-21,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-02-28,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-03-07,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-03-14,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-03-21,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-03-28,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-04-04,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-04-11,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-04-18,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-04-25,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-05-02,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-05-09,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-05-16,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-05-23,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-05-30,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-06-06,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-06-13,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
2021-06-20,0.5,"GenAI","world","2021-01-01 2025-07-18","web",0
